iter	MultiClass
0	0.7824053941
1	0.6319893191
2	0.4798833769
3	0.396249471
4	0.3248646467
5	0.2753388716
6	0.2243234625
7	0.1959367309
8	0.1712369981
9	0.1536007099
10	0.1370362105
11	0.1268984454
12	0.1167383821
13	0.1065729459
14	0.09805383087
15	0.09125905896
16	0.08132495547
17	0.07431141798
18	0.06717679918
19	0.06272863675
20	0.05807934663
21	0.05443099852
22	0.05112380704
23	0.04869749209
24	0.04624170417
25	0.04332771666
26	0.04147155036
27	0.03950171072
28	0.03778252764
29	0.03559384007
30	0.0343778679
31	0.03268154818
32	0.03146250009
33	0.03005903832
34	0.02921289763
35	0.02819637858
36	0.02666133994
37	0.0259832653
38	0.02514476465
39	0.02372445136
40	0.02313670108
41	0.02243681012
42	0.02180672016
43	0.02128562111
44	0.02053749191
45	0.01995667301
46	0.01956721329
47	0.01905358134
48	0.01861046448
49	0.01825972782
50	0.01786222616
51	0.01742766535
52	0.01709285947
53	0.01657613724
54	0.01604957873
55	0.01550574778
56	0.01515871609
57	0.01482815136
58	0.01455033701
59	0.014174687
60	0.01393245931
61	0.01366505687
62	0.01337678181
63	0.0130128213
64	0.01276744856
65	0.01255148034
66	0.01231311622
67	0.01207778208
68	0.0119506195
69	0.01174412267
70	0.01147335599
71	0.01130882195
72	0.0111279637
73	0.01102632042
74	0.0108435734
75	0.01056224722
76	0.01046143392
77	0.01041358454
78	0.01027048526
79	0.01015546204
80	0.009986862724
81	0.009847111767
82	0.009757774099
83	0.009654987029
84	0.009549188377
85	0.009431169799
86	0.009283975841
87	0.009180861829
88	0.009053069101
89	0.008938746897
90	0.008836265426
91	0.008699290997
92	0.008587139524
93	0.00850376451
94	0.008338416094
95	0.008242977628
96	0.008113633302
97	0.007990636517
98	0.007870494736
99	0.007783215211
100	0.007688434448
101	0.00758630071
102	0.00750266184
103	0.00740539263
104	0.00730607301
105	0.00724510066
106	0.007164522623
107	0.007114367579
108	0.007027817971
109	0.006954744206
110	0.00688376412
111	0.006836806559
112	0.006748715553
113	0.00669044157
114	0.006626814236
115	0.00657397157
116	0.006543398061
117	0.006490083076
118	0.006442673435
119	0.006369912902
120	0.006310418885
121	0.006258393826
122	0.006184921367
123	0.006135633987
124	0.006083882829
125	0.006039559147
126	0.00597653166
127	0.005917878197
128	0.005874302422
129	0.005834591761
130	0.005763885593
131	0.005699394754
132	0.005637969987
133	0.005580092858
134	0.005536327253
135	0.005505902409
136	0.005446532579
137	0.005406817446
138	0.005372472614
139	0.00532250835
140	0.005283415028
141	0.005252964794
142	0.005216434232
143	0.005182348144
144	0.005145774852
145	0.005105320594
146	0.005052690536
147	0.005002722504
148	0.004967839419
149	0.004914185786
150	0.004891680226
151	0.004850915308
